# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
BW;S. Tsotsoglou Kaffeerösterei & Foodservice;Osramstraße 6;89542 Herbrechtingen;;BW 13056;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Moser`s Essen-Trinken-Feiern, Hans-Wilhelm Moser;Alleenweg 2;89567 Sontheim;;BW 13059;;;;;;P;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Eva Heidenheim gGmbH;Albuchstr. 1;89518 Heidenheim;;BW 13061;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Wagenblast;Neudenauer Straße 10;74861 Neudenau;;BW 14055;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;SLK Kliniken Heilbronn GmbH Klinikum am Plattenwald;Am Plattenwald 1;74177 Bad Friedrichshall;;BW 14074;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BW;SLK Kliniken Heilbronn GmbH Krankenhaus Brackenheim;Wendelstraße 11;74336 Brackenheim;;BW 14076;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BW;Metzgerei Zinsler;Poststraße 32/34;74673 Mulfingen;;BW 15000;;;;;P, O, B;P, O, B;;;;;;;;;;mp;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Meister;Seehof 1;74626 Bretzfeld-Waldbach;;BW 15002;;;;;P, O, B;P, O, B;;;;;;;;;;mp;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
BW;Schafhof Jauernik Hannah Sophia Jauernik;Am Steg  3;74626 Bretzfeld ;;BW 15026;;;;;O;O;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Hohenloher Integrationsunternehmen GmbH  (HIU);Altkrautheimer Straße  21;74238 Krautheim ;;BW 15031;;;;;;;;;;;;;B, C, O, P;B, C, O, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche ;;;;
BW;Zentralküche des Klinikums Ludwigsburg;Posilipostraße 4;71640 Ludwigsburg;;BW 16106;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BW;Karlshöhe Ludwigsburg;Auf der Karlshöhe 3;71638 Ludwigsburg;;BW 16107;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
BW;Küche der Orthopädischen Klinik Markgröningen gGmbH;Kurt-Lindemann-Weg 10;71706 Markgröningen;;BW 16109;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BW;Küche des Karl-Gerok-Stift der Evangelischen Heimstiftung GmbH;Eichendorffstr.  51;71665 Vaihingen / Enz;;BW 16116;;X;X;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BW;Metzgerei Alfred Müller GmbH;Hauptstraße 49;97922 Lauda-Königshofen;;BW 17005;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Stattküche, Menüproduktion gemeinnützige GmbH;Mastholter Straße 200;59558 Lippstadt;;NW 00083;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Landmetzgerei Terhardt;Am Laacher Haus  2;41515 Grevenbroich;;NW 50018;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Herzog Fleischwaren GmbH;Stockenkamp 5;27793 Wildeshausen;;NI 19504;;X;;;;B, C, O, P;;A;;;;;B, P;B, C, O, P, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN;Frank Stein;Auerswalder Hauptstraße 60;09244 Lichtenau;;SN 10726;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN;Landwirtschaftsbetrieb Udo Robert;Kirchstraße 15;01477 Arnsdorf OT Fischbach;;SN 20746;;;;;B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Reichelt¿s Ziegenhof;Warburgerstr.  3;34479 Breuna-Wettesingen;;HE 30916;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
NW;Velcrea Seminarzentrum GmbH & Co. KG;Alter Markt 5;34439 Willebadessen;;NW 30415;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Großküche des DRK-Seniorenheims;Lange Straße 9-11;58089 Hagen;;NW 10419;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Andre Tholen;Kollweider Hof ;52538 Gangelt;;NW 70452;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
NW;Der Schultenhof;Königssteiner Straße 103;45529 Hattingen;;NW 10064;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Fleischerei Schiemer;Mittelstraße 31;45549 Sprockhövel;;NW 10067;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Fleischmanufaktur Sprockhövel;Wuppertaler Straße 81;45549 Sprockhövel;;NW 10071;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Opticura Service GmbH;Am Ochsenkamp 60;58332 Schwelm;;NW 10074;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;St. Benedikt Haus;Bärenkampallee 37;46535 Dinslaken;;NW 50458;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;KRS GmbH;Münsterstr. 55 a;48624 Schöppingen;;NW 84020;;;;;;B, O, P;;;;;;wA, wL, wU, wG;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Nikita Catering;Burgstr. 8;91741 Theilenhofen;;BY 50551;;;;;;;;;;;;;;S, B, O, P, C, A;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;
NW;Katholisches Klinikum Bochum Service GmbH ;Gudrunstraße 56;44791 Bochum;;NW 10051;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Niggemann Food Frischemarkt GmbH ;Speicherstraße 4-8;44809 Bochum;;NW 10049;;;;;;;;;;;;;B, P, wL, wU;P, wL, wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;RGE Servicegesellschaft mbH;Porscheplatz 1;45127 Essen;;NW 40124;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BW;Gasthaus "Zum Löwen";Durlacherstraße 10;75210 Keltern;;BW 31041;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Hausschlachtungen Klaus Mouris;Pforzheimer Straße 12;71296 Heimsheim;;BW 31021;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;St. Marienhospital Vechta gGmbH;Marienstraße 6-8;49377 Vechta;;NI 12795;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;Hans und Edelgard Hofmann Immobilien GmbH & Co. KG;Mostviel 3;91349 Egloffstein;;BY 40413;;;;;C, O;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Martje, GRE 5;Emsweg 25;26736 Greetsiel;;NI 16057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;Krabbenkutter;;;;
NW;Lu & Tian GbR;Gut Tannenhof ;50259 Pulheim;;NW 70477;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;BÜS 1 "De Luettje" DEU404680107;Op'n Diek 16;25761 Westerdeichstrich;;SH 00510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
BY;Christian Mößmer;Dorfstr. 1;85777 Fahrenzhausen;;BY 17149;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
TH;Küche des St. Johannesstift gGmbH;Unterhof 154;37308 Schimberg OT Ershausen;;TH 61476;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
HE;Jagdgesellschaft Battenberg;Im Hain 24;35088 Battenberg (Eder);;HE 30410;;;;;;;;;;;wU;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Kakagiannis GmbH "Fleisch Handel Service";Von-Hofmann-Straße 8;44579 Castrop-Rauxel;;NW 90301;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Aicher`s Restaurant;Kiefering 42;84577 Tüßling;;BY 11070;;;;;;;;;;;;;;;;bl, mp, pap;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BW;Diloga GmbH;Rotäcker 15;88271 Wilhelmsdorf;;BW 07138;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;La Cantina Food&More;Arbachtalstr. 6;72800 Eningen unter Achalm;;BW 74056;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
BW;Straußenfarm Waldburg Service UG (haftungsbeschränkt);Hinterwiddum  2;88289 Waldburg;;BW 07112;;;;;B, O, C;B, O, C;;;R;R;;;B, R;B, R;;;;;;;;;;;;;X;X;X;;;;;;;;;;;;;;;
BY;Fleischmarkt München Süd GmbH & Co. KG;Zenettistr. 6;80337 München;;BY 11071;;X;X;;;B, O, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;JS Cooking Service;Hauptstraße 25;73479 Ellwangen;;BW 18155;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;
BY;Straußenfarm Mitterhof;Mitterhof 1;95652 Waldsassen;;BY 30013;;;;;C, O;C, O;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;RUF Lebensmittelwerk KG, Betriebsstandort Essen, Werk III;Calhorner Kirchweg 52-54;49632 Essen i. O.;;NI 19505;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Claus Schultes Speiseeisproduktion;Waldmichelbach 4a;63856 Bessenbach;;BY 60360;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
BB;Hoffnungstaler Stiftung Lobetal;Bonhoefferweg 1;16321 Bernau;;BB 60025;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
HE;Caritas Altenzentrum St. Vinzenz;Moritz-Werner-Str. 12-14;37269 Eschwege;;HE 30411;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
BY;Karl-Peter Schwegel, Forellenzucht Aufseßtal;Wüstenstein 53;91346 Wiesenttal;;BY 40415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;Tina, CUX 5;Hermann-Allmers-Str. 35;27472 Cuxhaven;;NI 16117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;Krabbenkutter;;;;
SN;Fleischerei Möllmer;Oberläuterstraße 1;04357 Leipzig;;SN 30750;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Heiderbeck Service GmbH & Co. KG;Gewerbering 4;82140 Olching;;BY 14007;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Mensa KostBar, Hans-Schüller-Schule;Königshofstraße 3;96103 Hallstadt;;BY 40416;;;;;;;;;;;;;;;;mp, bl, pap;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BW;BK Giulini GmbH;Dr. Albert-Reimann-Straße 2;68526 Ladenburg;;BW 08101;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Yammi;Heiligenbreite 20;88662 Überlingen;;BW 08104;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
BW;Hofmann Menü-Manufaktur GmbH,  Werk Schweigern;Adelbert-Hofmann-Straße 6;97944 Boxberg-Schweigern;;BW 01195;;X;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;
MV;Fleischerei Seibt;Barnstorfer Weg 51;18057 Rostock;;MV 21013;;;;;;;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;DSE Dienste für soziale Einrichtungen GmbH c/o Altenpflegeheim "Haus an den Platanen";Lessingstraße 4;63263 Neu-Isenburg;;HE 10094;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;
NI;Friedel Weise;Kleine Trift 1;31228 Peine-Vöhrum;;NI 18908;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH;Tagungshaus Rittergut e.V.;Rittergut 99;99955 Lützensömmern;;TH 64696;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Geflügelhof Baumhöver;Eusterbrockstraße 20;33378 Rheda-Wiedenbrück;;NW 30419;;;;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;METRO Cash & Carry Deutschland GmbH;Saarstraße 9;58332 Schwelm;;NW 10317;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Oliver Sachse;Hochwald 7;51545 Waldbröl;;NW 70464;;;;;O, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;CEBONA GmbH;Junkernstraße 6;31028 Gronau (Leine);;NI 18906;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;REWE Dortmund SE & Co.KG;Asselner Hellweg 1-3;44309 Dortmund;;NW 00084;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SL;SHG Klinikum Sonnenberg Zentralküche Haus 5 ;Sonnenbergstraße 10;66119 Saarbrücken ;;SL 70060;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche ;;;;
SL;GHG Illingen im ASB GmbH, ASB Seniorenzentrum ;Am Dimmelsbach 5;66557 Illingen ;;SL 70062;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche ;;;;
BY;Bergwies Bio Käserei;Stockach 3;88167 Maierhöfen;;BY 70744;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
MV;Bio Fresh Feinkost GmbH;Greifenstrasse 14 a;17440 Lassan;;MV 45002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;Heinrich Köhler GmbH Kantinenbetrieb;Schinkelstraße 9;31137 Hildesheim;;NI 18910;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NI;Karotte Partyservice GmbH;Emsstr. 18;26135 Oldenburg (Oldenburg);;NI 12798;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NI;Niehoff's Hofmolkerei;Am Sägewerk 7;31167 Bockenem OT Bültum;;NI 18909;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
BY;Altbayerische Küche Bayerische Schmankerl Herstellungs- und Vertriebs GmbH;Eggersdorfer Str. 6;84381 Emmersdorf;;BY 20438;;;;;;;;;;;;;;;;mp;;;;;;;;;;B, C, O;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Onur Dönerproduktion;Dieselstraße 48;33442 Herzebrock-Clarholz;;NW 30421;;;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Haus Maternus GmbH;Henri-Dunant-Straße 15-17;47533 Kleve;;NW 50439;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Rheinischer Verein für Katholische Arbeiterkolonien -Altenheim St.Petrusheim-;Baal 23;47652 Weeze;;NW 50426;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Menue-und Partyservice Meiners;Niederdorfer Straße 12;47638 Straelen;;NW 50411;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Ganztagsverein der Ernst-Barlach-Gesamtschule e.V.;Scharnhorststraße 2;46535 Dinslaken;;NW 50397;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Konditorei-Cafe Münster;Kuhstrasse 27;47495 Rheinberg;;NW 50385;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Diakonie im Kirchenkreis Düsseldorf-Mettmann NeanderDiakonie GmbH;Dofstraße 8-12;40882 Ratingen;;NW 50412;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;ESS-PRESS Catering GmbH;Hans-Sachs-Straße 8;40721 Hilden;;NW 50392;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;Franziska und Alexander Wiedemann Landwirtschaft GbR;Riedstraße 32;86707 Westendorf;;BY 70749;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
